Parallel {
Buy 8850  AUKV @ 91.77 #+15145559425
Sell 5590  AVAB @ 91.77 #+15145554734
Sell 16800  AGOG @ 99.79 #+15145555329
Buy 8520  AKZOY @ 90.57 #+15145553387
Sell 350  APPL @ 20.12 #+15145555702
Sell 20750  AGOG @ 115.18 #+15145552176
Buy 10390  AUKV @ 92.3 #+15145550872
Sell 320  APPL @ 20.06 #+15145556700
Buy 490  APPL @ 20.22 #+15145552825
Sell 7520  AVAB @ 92.3 #+15145551498
Buy 41830  AGOG @ 115.75 #+15145551409
Buy 13130  AKZOY @ 90.51 #+15145553012
Buy 410  APPL @ 20.06 #+15145559822
Sell 1970  AUKV @ 94.73 #+15145550953
Sell 2000  AVAB @ 94.73 #+15145558903
Buy 39750  AGOG @ 114.53 #+15145552731
Buy 9400  AKZOY @ 91.01 #+15145551946
Sell 580  APPL @ 20.13 #+15145554935
Sell 9550  AKZOY @ 91.02 #+15145551568
Sell 460  APPL @ 20.05 #+15145556789
Sell 7580  AUKV @ 95.21 #+15145550072
Sell 9880  AKZOY @ 91.03 #+15145556386
Sell 11830  AUKV @ 94.99 #+15145558901
Sell 6480  AKZOY @ 91.57 #+15145557150
Sell 4440  AUKV @ 94.42 #+15145556057
Sell 9790  AVAB @ 95.21 #+15145556507
Buy 500  APPL @ 19.96 #+15145557249
Buy 9260  AUKV @ 96.59 #+15145553480
Sell 3420  AUKV @ 96.96 #+15145559641
Sell 13290  AUKV @ 97.27 #+15145550050
Sell 9080  AKZOY @ 91.36 #+15145554199
Buy 690  APPL @ 19.76 #+15145552162
Buy 7840  AKZOY @ 91.95 #+15145558231
Sell 11600  AUKV @ 96.34 #+15145553983
Buy 3470  AUKV @ 95.33 #+15145554777
Sell 6860  AKZOY @ 91.77 #+15145559284
Sell 7980  AKZOY @ 91.71 #+15145551212
Buy 20160  AGOG @ 112.92 #+15145555931
Buy 11760  AVAB @ 94.99 #+15145559543
Buy 11760  AVAB @ 94.42 #+15145555962
Sell 530  APPL @ 19.54 #+15145557844
Sell 7840  AKZOY @ 91.47 #+15145550672
Sell 12890  AKZOY @ 90.65 #+15145553808
Buy 10590  AKZOY @ 90.42 #+15145558606
Buy 530  APPL @ 19.71 #+15145551227
Buy 8350  AVAB @ 96.59 #+15145554565
Sell 580  ABLE @ 19.73 #+15145559096
Sell 6140  AVAB @ 96.96 #+15145554386
Buy 6300  AUKV @ 98.05 #+15145550857
Buy 19730  AGOG @ 115.75 #+15145557545
Sell 23630  AGOG @ 115.82 #+15145553721
Buy 4640  AVAB @ 97.27 #+15145556928
Buy 3960  AUKV @ 98.68 #+15145553932
Sell 17160  AUKV @ 97.9 #+15145552415
Buy 24040  AGOG @ 115.84 #+15145554447
Buy 11370  AKZOY @ 90.1 #+15145554418
Buy 5900  AVAB @ 96.34 #+15145557745
Buy 800  ABLE @ 20.01 #+15145558488
Buy 5300  AUKV @ 99.86 #+15145556269
Sell 9440  AUKV @ 95.79 #+15145559169
Sell 750  ABLE @ 19.82 #+15145550106
Sell 7070  AVAB @ 95.33 #+15145559634
Buy 29810  AGOG @ 115.41 #+15145556558
Buy 670  ABLE @ 19.6 #+15145557230
Sell 13090  AUKV @ 95.38 #+15145555519
Buy 1570  ABLE @ 19.78 #+15145553569
Buy 29680  AGOG @ 114.94 #+15145550368
Sell 40780  AGOG @ 114.85 #+15145557418
Sell 3810  AUKV @ 93.95 #+15145559902
Buy 7770  AKZOY @ 90.16 #+15145552233
Buy 54240  AGOG @ 114.88 #+15145559561
Buy 6980  AVAB @ 98.05 #+15145558522
Buy 4380  AKZOY @ 90.04 #+15145551596
Sell 31340  AGOG @ 114.54 #+15145555596
Buy 9070  AKZOY @ 90.63 #+15145553798
Sell 12140  AUKV @ 93.29 #+15145550589
Sell 12020  AUKV @ 93.26 #+15145553054
Sell 12490  AVAB @ 98.68 #+15145555372
Buy 21170  AGOG @ 114.5 #+15145556931
Sell 4400  AKZOY @ 90.73 #+15145554438
Sell 16800  AVAB @ 97.9 #+15145558486
Sell 870  ABLE @ 19.42 #+15145551575
Sell 5360  AKZOY @ 91.56 #+15145557528
Buy 6380  AKZOY @ 91.12 #+15145550833
Sell 530  ABLE @ 19.34 #+15145551290
Buy 7040  AVAB @ 99.86 #+15145559173
Sell 430  ABLE @ 19.36 #+15145551428
Buy 23490  AGOG @ 117.73 #+15145552723
Sell 13680  AUKV @ 94.74 #+15145556007
Sell 6610  AVAB @ 95.79 #+15145554418
Sell 12880  AUKV @ 93.27 #+15145559336
Sell 12280  AVAB @ 95.38 #+15145557266
Sell 18720  AUKV @ 94.71 #+15145554671
Buy 10350  AUKV @ 93.99 #+15145552112
Sell 7820  AKZOY @ 91.66 #+15145559657
Sell 8870  AVAB @ 93.95 #+15145554923
Sell 530  ABLE @ 19.45 #+15145555962
Buy 7420  AKZOY @ 91.56 #+15145556851
Sell 5600  AKZOY @ 91.87 #+15145552809
Buy 22860  AUKV @ 93.42 #+15145550430
Buy 32460  AGOG @ 114.37 #+15145551570
Sell 20570  AGOG @ 115.04 #+15145559495
Buy 530  ABLE @ 19.77 #+15145559630
Sell 7930  AKZOY @ 91.85 #+15145553557
Sell 18030  AGOG @ 114.29 #+15145553263
Sell 5880  AKZOY @ 91.63 #+15145558939
Sell 5320  AKZOY @ 91.61 #+15145558672
Buy 10920  AUKV @ 95.44 #+15145550814
Buy 8600  AKZOY @ 91.96 #+15145559814
Sell 570  ABLE @ 19.73 #+15145553258
Sell 8280  AUKV @ 94.27 #+15145552017
Sell 7680  AKZOY @ 91.84 #+15145558431
Sell 6920  AKZOY @ 91.73 #+15145553553
Buy 13870  AVAB @ 93.29 #+15145553901
Buy 680  ABLE @ 20.24 #+15145551975
Sell 7540  AUKV @ 93.01 #+15145554835
Sell 10650  AKZOY @ 91.66 #+15145559889
Sell 9370  AUKV @ 94.23 #+15145554326
Buy 33070  AGOG @ 114.32 #+15145558790
Sell 27930  AGOG @ 113.8 #+15145556891
Sell 5840  AUKV @ 94.31 #+15145554889
Sell 49900  AGOG @ 115.27 #+15145554451
Sell 710  ABLE @ 20.06 #+15145554974
