Sell 16800  AGOG @ 99.79 #+15145555329
Sell 20750  AGOG @ 115.18 #+15145552176
Buy 41830  AGOG @ 115.75 #+15145551409
Buy 39750  AGOG @ 114.53 #+15145552731
Buy 20160  AGOG @ 112.92 #+15145555931
Buy 19730  AGOG @ 115.75 #+15145557545
Sell 23630  AGOG @ 115.82 #+15145553721
Buy 24040  AGOG @ 115.84 #+15145554447
Buy 29810  AGOG @ 115.41 #+15145556558
Buy 29680  AGOG @ 114.94 #+15145550368
Sell 40780  AGOG @ 114.85 #+15145557418
Buy 54240  AGOG @ 114.88 #+15145559561
Sell 31340  AGOG @ 114.54 #+15145555596
Buy 21170  AGOG @ 114.5 #+15145556931
Buy 23490  AGOG @ 117.73 #+15145552723
Buy 32460  AGOG @ 114.37 #+15145551570
Sell 20570  AGOG @ 115.04 #+15145559495
Sell 18030  AGOG @ 114.29 #+15145553263
Buy 33070  AGOG @ 114.32 #+15145558790
Sell 27930  AGOG @ 113.8 #+15145556891
Sell 49900  AGOG @ 115.27 #+15145554451
Sell 97150  AGOG @ 113.35 #+15145550065
Sell 44440  AGOG @ 113.47 #+15145556133
Buy 43120  AGOG @ 111.83 #+15145550283
Buy 30230  AGOG @ 110.96 #+15145556828
Buy 45770  AGOG @ 110.05 #+15145556091
Sell 21270  AGOG @ 110.64 #+15145557218
Sell 25080  AGOG @ 111.44 #+15145552679
Buy 24460  AGOG @ 111.46 #+15145550680
Buy 49320  AGOG @ 108.04 #+15145554290
Buy 60430  AGOG @ 111.47 #+15145556497
Buy 32010  AGOG @ 111.02 #+15145550324
Sell 21760  AGOG @ 110.49 #+15145559998
Buy 27240  AGOG @ 111.27 #+15145559941
Buy 56810  AGOG @ 110.81 #+15145552612
Sell 58540  AGOG @ 111.34 #+15145552122
Sell 37380  AGOG @ 110.81 #+15145553728
Buy 19920  AGOG @ 111.55 #+15145552946
Sell 32690  AGOG @ 110.68 #+15145557841
Buy 60000  AGOG @ 109.93 #+15145555226
Sell 93940  AGOG @ 110.35 #+15145557423
Sell 77320  AGOG @ 110.22 #+15145559558
Buy 54290  AGOG @ 109.3 #+15145550254
Sell 20500  AGOG @ 108.31 #+15145553604
Sell 17840  AGOG @ 108.45 #+15145554482
Buy 25390  AGOG @ 105.37 #+15145552275
Buy 29160  AGOG @ 108.99 #+15145555393
Buy 30990  AGOG @ 109.01 #+15145559931
Buy 35880  AGOG @ 108.14 #+15145552213
Sell 21790  AGOG @ 106.65 #+15145555454
Buy 24960  AGOG @ 108.1 #+15145557182
Sell 17180  AGOG @ 110.79 #+15145553092
Sell 14190  AGOG @ 108.09 #+15145558702
Buy 26180  AGOG @ 108.51 #+15145550033
Buy 30440  AGOG @ 107.47 #+15145558210
Buy 17000  AGOG @ 107.46 #+15145559664
Sell 25580  AGOG @ 107.89 #+15145551408
Sell 25680  AGOG @ 107.59 #+15145557121
Sell 48470  AGOG @ 107.65 #+15145556926
Sell 51090  AGOG @ 107.06 #+15145553881
Buy 48020  AGOG @ 106.98 #+15145554511
Buy 47480  AGOG @ 105.72 #+15145552270
Buy 59560  AGOG @ 105.28 #+15145559960
Sell 47060  AGOG @ 104.83 #+15145555306
Buy 39420  AGOG @ 106.81 #+15145558187
Sell 26160  AGOG @ 104.8 #+15145555970
Buy 25650  AGOG @ 106 #+15145557134
Sell 26850  AGOG @ 106.18 #+15145551158
Buy 67670  AGOG @ 106.59 #+15145556571
Sell 20620  AGOG @ 103.36 #+15145553894
Sell 20550  AGOG @ 106.66 #+15145555346
Buy 20930  AGOG @ 106.37 #+15145554679
Buy 16720  AGOG @ 107.48 #+15145552973
Sell 30120  AGOG @ 104.78 #+15145551893
Sell 30480  AGOG @ 106.64 #+15145552097
Buy 63060  AGOG @ 108.91 #+15145556224
Buy 30130  AGOG @ 105.44 #+15145555580
Buy 24490  AGOG @ 107.3 #+15145554689
Sell 19740  AGOG @ 106.69 #+15145554673
Buy 27070  AGOG @ 107.33 #+15145551642
Sell 16640  AGOG @ 106.03 #+15145554891
Buy 22790  AGOG @ 107.19 #+15145558851
Sell 21480  AGOG @ 106.76 #+15145553702
Buy 14360  AGOG @ 106.9 #+15145558291
Sell 20990  AGOG @ 106.47 #+15145555120
Sell 18280  AGOG @ 110.65 #+15145557546
Buy 20480  AGOG @ 107.29 #+15145556407
Buy 16270  AGOG @ 108.46 #+15145558722
Sell 34900  AGOG @ 106.74 #+15145555684
Sell 25460  AGOG @ 107.01 #+15145552462
Sell 16050  AGOG @ 106.09 #+15145552059
Sell 13830  AGOG @ 103.58 #+15145552695
Buy 25340  AGOG @ 105.9 #+15145555870
Buy 32490  AGOG @ 105.92 #+15145553210
Buy 30080  AGOG @ 105.92 #+15145554100
Sell 17500  AGOG @ 105.98 #+15145553658
Sell 32640  AGOG @ 107.71 #+15145552012
Sell 22960  AGOG @ 104.59 #+15145554337
Sell 24440  AGOG @ 105.25 #+15145557787
Sell 41280  AGOG @ 105.73 #+15145558909
Buy 21990  AGOG @ 105.1 #+15145550820
Buy 14580  AGOG @ 105.56 #+15145555221
Buy 19450  AGOG @ 108.73 #+15145558919
Sell 18680  AGOG @ 105.23 #+15145552090
Sell 21980  AGOG @ 105.87 #+15145555832
Sell 16510  AGOG @ 105.15 #+15145555434
Buy 18200  AGOG @ 105.47 #+15145559724
Buy 22230  AGOG @ 106.22 #+15145553556
Buy 21000  AGOG @ 105.31 #+15145558827
Buy 40280  AGOG @ 105.5 #+15145555951
Sell 30240  AGOG @ 106.48 #+15145555981
Buy 20090  AGOG @ 105.86 #+15145556539
Sell 23990  AGOG @ 105.36 #+15145558523
Sell 34160  AGOG @ 105.32 #+15145554528
Sell 23150  AGOG @ 105.2 #+15145550117
Buy 19250  AGOG @ 105.09 #+15145559215
Sell 23490  AGOG @ 101.59 #+15145559690
Buy 40350  AGOG @ 104.87 #+15145556846
Sell 25640  AGOG @ 104.39 #+15145551928
Sell 31200  AGOG @ 104.5 #+15145550777
Buy 62080  AGOG @ 104.41 #+15145552416
Buy 120030  AGOG @ 104.8 #+15145554899
Sell 52300  AGOG @ 101.12 #+15145558111
Sell 131180  AGOG @ 104.35 #+15145554532
Sell 18500  AGOG @ 105.51 #+15145551181
Buy 15590  AGOG @ 105.42 #+15145559337
Buy 29690  AGOG @ 106.53 #+15145557659
Sell 30780  AGOG @ 106.55 #+15145550633
Buy 23580  AGOG @ 104.19 #+15145558148
Buy 32620  AGOG @ 106.36 #+15145559170
Sell 44030  AGOG @ 105.58 #+15145558378
Buy 30800  AGOG @ 105.67 #+15145552370
Sell 14410  AGOG @ 105.38 #+15145559458
Buy 16650  AGOG @ 104.94 #+15145554687
Buy 20060  AGOG @ 104.58 #+15145556638
Sell 17770  AGOG @ 104.49 #+15145554819
Buy 13980  AGOG @ 102.39 #+15145555924
Buy 34310  AGOG @ 107.16 #+15145559919
Sell 31540  AGOG @ 103.8 #+15145559279
Buy 21930  AGOG @ 101.65 #+15145555886
Buy 14750  AGOG @ 102.95 #+15145555919
Buy 16590  AGOG @ 103.8 #+15145557011
Buy 16700  AGOG @ 103.23 #+15145559558
Sell 19780  AGOG @ 102.87 #+15145554832
Sell 34840  AGOG @ 102.14 #+15145552400
Sell 13110  AGOG @ 102.89 #+15145558926
Buy 12770  AGOG @ 102.88 #+15145559939
Buy 13290  AGOG @ 103.63 #+15145559654
Buy 18460  AGOG @ 103.07 #+15145558178
Sell 9560  AGOG @ 103.09 #+15145553784
Buy 12480  AGOG @ 102.83 #+15145558405
Sell 15130  AGOG @ 103.11 #+15145554856
Buy 12940  AGOG @ 102.6 #+15145553945
Buy 10030  AGOG @ 102.06 #+15145550681
Buy 16060  AGOG @ 104.85 #+15145557142
Buy 21040  AGOG @ 105.34 #+15145552579
Buy 20120  AGOG @ 102.87 #+15145557325
Buy 30840  AGOG @ 102.2 #+15145556610
Sell 30690  AGOG @ 101.36 #+15145557135
Sell 20610  AGOG @ 100.66 #+15145558844
Sell 26660  AGOG @ 101.32 #+15145550723
Buy 37540  AGOG @ 102.99 #+15145556804
Sell 38370  AGOG @ 100.9 #+15145558381
Buy 51480  AGOG @ 100.69 #+15145555751
Sell 21610  AGOG @ 101.09 #+15145559375
Buy 19450  AGOG @ 102.4 #+15145551987
Sell 25650  AGOG @ 101.46 #+15145551377
Buy 33790  AGOG @ 100.16 #+15145556532
Sell 12710  AGOG @ 103.05 #+15145559077
Buy 18770  AGOG @ 100.23 #+15145552899
Buy 20270  AGOG @ 100.79 #+15145559509
Buy 35200  AGOG @ 101.18 #+15145555129
Buy 24520  AGOG @ 98.71 #+15145555052
Buy 16700  AGOG @ 100.39 #+15145550154
Buy 20210  AGOG @ 101.38 #+15145555603
Buy 16930  AGOG @ 100.35 #+15145559662
Sell 31570  AGOG @ 100.15 #+15145556471
Sell 35220  AGOG @ 99.81 #+15145553446
Buy 34750  AGOG @ 99.96 #+15145559640
Sell 13720  AGOG @ 100.34 #+15145555314
