Buy 8850  AUKV @ 91.77 #+15145559425
Buy 10390  AUKV @ 92.3 #+15145550872
Sell 1970  AUKV @ 94.73 #+15145550953
Sell 7580  AUKV @ 95.21 #+15145550072
Sell 11830  AUKV @ 94.99 #+15145558901
Sell 4440  AUKV @ 94.42 #+15145556057
Buy 9260  AUKV @ 96.59 #+15145553480
Sell 3420  AUKV @ 96.96 #+15145559641
Sell 13290  AUKV @ 97.27 #+15145550050
Sell 11600  AUKV @ 96.34 #+15145553983
Buy 3470  AUKV @ 95.33 #+15145554777
Buy 6300  AUKV @ 98.05 #+15145550857
Buy 3960  AUKV @ 98.68 #+15145553932
Sell 17160  AUKV @ 97.9 #+15145552415
Buy 5300  AUKV @ 99.86 #+15145556269
Sell 9440  AUKV @ 95.79 #+15145559169
Sell 13090  AUKV @ 95.38 #+15145555519
Sell 3810  AUKV @ 93.95 #+15145559902
Sell 12140  AUKV @ 93.29 #+15145550589
Sell 12020  AUKV @ 93.26 #+15145553054
Sell 13680  AUKV @ 94.74 #+15145556007
Sell 12880  AUKV @ 93.27 #+15145559336
Sell 18720  AUKV @ 94.71 #+15145554671
Buy 10350  AUKV @ 93.99 #+15145552112
Buy 22860  AUKV @ 93.42 #+15145550430
Buy 10920  AUKV @ 95.44 #+15145550814
Sell 8280  AUKV @ 94.27 #+15145552017
Sell 7540  AUKV @ 93.01 #+15145554835
Sell 9370  AUKV @ 94.23 #+15145554326
Sell 5840  AUKV @ 94.31 #+15145554889
Buy 5680  AUKV @ 90.1 #+15145554914
Buy 9470  AUKV @ 93.4 #+15145554995
Buy 11540  AUKV @ 94.22 #+15145558607
Sell 12540  AUKV @ 92.24 #+15145551941
Sell 13680  AUKV @ 94.65 #+15145557882
Buy 12270  AUKV @ 94.62 #+15145555386
Sell 12930  AUKV @ 92.92 #+15145550555
Sell 8440  AUKV @ 92.79 #+15145551850
Buy 20160  AUKV @ 97.63 #+15145554232
Buy 9230  AUKV @ 100.17 #+15145553597
Sell 7250  AUKV @ 101.28 #+15145555339
Sell 3790  AUKV @ 99.07 #+15145555990
Buy 5450  AUKV @ 99.98 #+15145555785
Buy 7570  AUKV @ 106.82 #+15145550814
Sell 5290  AUKV @ 105.39 #+15145551596
Buy 7510  AUKV @ 104.5 #+15145553046
Buy 3270  AUKV @ 105.83 #+15145559354
Buy 13130  AUKV @ 102.7 #+15145553323
Sell 13900  AUKV @ 102.3 #+15145554060
Sell 15110  AUKV @ 101.97 #+15145555094
Sell 18970  AUKV @ 102.17 #+15145557024
Sell 9660  AUKV @ 104.38 #+15145550215
Sell 9380  AUKV @ 102.49 #+15145551031
Sell 3600  AUKV @ 101.18 #+15145555138
Sell 11550  AUKV @ 103.55 #+15145555669
Buy 10970  AUKV @ 103.19 #+15145557230
Buy 8050  AUKV @ 105.99 #+15145559590
Buy 14870  AUKV @ 104.22 #+15145553135
Buy 7460  AUKV @ 107.26 #+15145559936
Buy 10230  AUKV @ 112.26 #+15145556818
Buy 12720  AUKV @ 113.16 #+15145554743
Sell 9040  AUKV @ 115.05 #+15145557587
Buy 4460  AUKV @ 116.82 #+15145553639
Buy 12210  AUKV @ 119.98 #+15145557595
Sell 10740  AUKV @ 120.03 #+15145556853
Sell 14070  AUKV @ 122.46 #+15145554995
Buy 9270  AUKV @ 120.86 #+15145559827
Buy 6480  AUKV @ 117.69 #+15145556903
Sell 5930  AUKV @ 117.19 #+15145552951
Sell 7550  AUKV @ 123.79 #+15145554564
Buy 8690  AUKV @ 120.55 #+15145556435
Buy 11030  AUKV @ 121.7 #+15145556846
Sell 10870  AUKV @ 116.7 #+15145559358
Sell 4730  AUKV @ 120.04 #+15145559080
Sell 12200  AUKV @ 121.58 #+15145557098
Sell 8730  AUKV @ 122.07 #+15145556866
Sell 6950  AUKV @ 120.36 #+15145551385
Buy 9700  AUKV @ 117.93 #+15145555937
Sell 8360  AUKV @ 114.46 #+15145552532
Buy 10370  AUKV @ 113.32 #+15145557262
Buy 6750  AUKV @ 115.24 #+15145552959
Sell 5330  AUKV @ 117.89 #+15145552587
Buy 8710  AUKV @ 112.38 #+15145555179
Sell 13720  AUKV @ 113.61 #+15145550521
Sell 11680  AUKV @ 111.73 #+15145552697
Sell 4570  AUKV @ 111.75 #+15145555759
Buy 3110  AUKV @ 111.29 #+15145556803
Buy 7320  AUKV @ 115.93 #+15145553023
Buy 13540  AUKV @ 112.37 #+15145556768
Buy 9690  AUKV @ 111.34 #+15145552961
Buy 8340  AUKV @ 112.71 #+15145552947
Buy 10650  AUKV @ 111.89 #+15145551256
Sell 14920  AUKV @ 109.12 #+15145555152
Buy 13840  AUKV @ 110.19 #+15145559743
Buy 5180  AUKV @ 111.69 #+15145556703
Buy 10930  AUKV @ 114.18 #+15145550591
Buy 8600  AUKV @ 113.52 #+15145559876
Buy 10410  AUKV @ 118.06 #+15145556507
Buy 17810  AUKV @ 119.85 #+15145553434
Buy 8610  AUKV @ 120.72 #+15145559670
Buy 10720  AUKV @ 121.24 #+15145551384
Buy 20960  AUKV @ 122.08 #+15145550646
Sell 20990  AUKV @ 121.45 #+15145550695
Sell 14530  AUKV @ 122.41 #+15145555792
Sell 14680  AUKV @ 123.27 #+15145550398
Sell 7140  AUKV @ 122.33 #+15145556838
Sell 3900  AUKV @ 119.56 #+15145552029
Buy 5910  AUKV @ 125.43 #+15145556492
Sell 4910  AUKV @ 127.76 #+15145559679
Buy 7570  AUKV @ 122.41 #+15145550269
Buy 10630  AUKV @ 119.81 #+15145559154
Buy 3090  AUKV @ 120.33 #+15145552336
Sell 7610  AUKV @ 121.41 #+15145556777
Sell 10830  AUKV @ 120.93 #+15145556557
Buy 7810  AUKV @ 120.75 #+15145557428
Sell 7310  AUKV @ 118.25 #+15145554134
Sell 12290  AUKV @ 117.39 #+15145551979
Sell 10400  AUKV @ 118.98 #+15145555180
Sell 9580  AUKV @ 123.51 #+15145556244
Sell 12250  AUKV @ 120.03 #+15145556410
Buy 6470  AUKV @ 120.45 #+15145559814
Buy 7880  AUKV @ 120.51 #+15145558478
Buy 13060  AUKV @ 120.24 #+15145550948
Sell 8070  AUKV @ 123.45 #+15145553984
Buy 2950  AUKV @ 122.99 #+15145554188
Sell 6180  AUKV @ 119.83 #+15145551457
Buy 14060  AUKV @ 117.96 #+15145555008
Sell 4560  AUKV @ 115.53 #+15145555051
Sell 4010  AUKV @ 118.18 #+15145555632
Buy 10230  AUKV @ 121.99 #+15145551296
Sell 22800  AUKV @ 125.65 #+15145553782
Buy 7720  AUKV @ 122.56 #+15145552477
Sell 12300  AUKV @ 121.96 #+15145553579
Sell 19060  AUKV @ 120.65 #+15145553769
Buy 7890  AUKV @ 120.77 #+15145559602
Sell 15880  AUKV @ 122.02 #+15145554954
Sell 14980  AUKV @ 121.61 #+15145556783
Sell 9390  AUKV @ 123.14 #+15145550831
Buy 19290  AUKV @ 126.34 #+15145552294
Buy 15080  AUKV @ 125.18 #+15145557962
Sell 8390  AUKV @ 129.62 #+15145555287
Buy 8600  AUKV @ 131.21 #+15145553074
Buy 8740  AUKV @ 133.09 #+15145554093
Sell 5590  AUKV @ 130.62 #+15145551868
Sell 15650  AUKV @ 129.93 #+15145558949
Sell 9250  AUKV @ 125.36 #+15145554237
Buy 11380  AUKV @ 122.78 #+15145550356
Buy 8250  AUKV @ 123.75 #+15145559299
Sell 11790  AUKV @ 128.24 #+15145555752
Sell 23080  AUKV @ 126.67 #+15145550432
Sell 8430  AUKV @ 134.26 #+15145552853
Sell 9900  AUKV @ 129.38 #+15145556408
Sell 7020  AUKV @ 129.73 #+15145555327
Buy 7380  AUKV @ 128.71 #+15145552812
Buy 8130  AUKV @ 129.54 #+15145559358
Buy 11370  AUKV @ 129.86 #+15145559573
Sell 14920  AUKV @ 130.67 #+15145553569
Buy 5860  AUKV @ 129.92 #+15145553925
Buy 13280  AUKV @ 129.21 #+15145556513
Sell 14840  AUKV @ 132.05 #+15145555367
Sell 15600  AUKV @ 130.76 #+15145552854
Sell 13190  AUKV @ 127.81 #+15145558905
Sell 15830  AUKV @ 128.75 #+15145551605
Buy 8270  AUKV @ 127.5 #+15145556314
Buy 12280  AUKV @ 130.97 #+15145555400
Buy 7150  AUKV @ 129.62 #+15145559996
Sell 10540  AUKV @ 136.35 #+15145552986
Buy 11240  AUKV @ 138.84 #+15145552204
Buy 14750  AUKV @ 140.05 #+15145555859
Buy 11320  AUKV @ 141.39 #+15145556540
Buy 11270  AUKV @ 143.77 #+15145552509
Buy 6220  AUKV @ 142.65 #+15145552922
Sell 10590  AUKV @ 143.24 #+15145553701
Sell 16960  AUKV @ 143.63 #+15145557595
Buy 10670  AUKV @ 149.94 #+15145551766
Buy 8750  AUKV @ 151 #+15145555553
Buy 9050  AUKV @ 149.8 #+15145557102
Sell 7080  AUKV @ 147.61 #+15145556145
Buy 7390  AUKV @ 150.18 #+15145553649
Buy 12390  AUKV @ 148.69 #+15145552367
Buy 10150  AUKV @ 147.84 #+15145558064
Sell 10700  AUKV @ 150.09 #+15145551129
Buy 10700  AUKV @ 147.71 #+15145553737
Sell 14590  AUKV @ 153.48 #+15145551215
Buy 11850  AUKV @ 154.41 #+15145550457
Sell 14050  AUKV @ 153.85 #+15145550955
Buy 28790  AUKV @ 150.87 #+15145553236
Buy 16240  AUKV @ 150.01 #+15145556236
Sell 17340  AUKV @ 152.04 #+15145554932
Buy 24600  AUKV @ 150.4 #+15145551874
Buy 25170  AUKV @ 158.53 #+15145553963
Sell 16610  AUKV @ 160.92 #+15145551370
Sell 17670  AUKV @ 160.91 #+15145558351
