Sell 5590  AVAB @ 91.77 #+15145554734
Sell 7520  AVAB @ 92.3 #+15145551498
Sell 2000  AVAB @ 94.73 #+15145558903
Sell 9790  AVAB @ 95.21 #+15145556507
Buy 11760  AVAB @ 94.99 #+15145559543
Buy 11760  AVAB @ 94.42 #+15145555962
Buy 8350  AVAB @ 96.59 #+15145554565
Sell 6140  AVAB @ 96.96 #+15145554386
Buy 4640  AVAB @ 97.27 #+15145556928
Buy 5900  AVAB @ 96.34 #+15145557745
Sell 7070  AVAB @ 95.33 #+15145559634
Buy 6980  AVAB @ 98.05 #+15145558522
Sell 12490  AVAB @ 98.68 #+15145555372
Sell 16800  AVAB @ 97.9 #+15145558486
Buy 7040  AVAB @ 99.86 #+15145559173
Sell 6610  AVAB @ 95.79 #+15145554418
Sell 12280  AVAB @ 95.38 #+15145557266
Sell 8870  AVAB @ 93.95 #+15145554923
Buy 13870  AVAB @ 93.29 #+15145553901
Sell 8460  AVAB @ 93.26 #+15145552192
Buy 7170  AVAB @ 94.74 #+15145552468
Buy 16370  AVAB @ 93.27 #+15145556090
Sell 12780  AVAB @ 94.71 #+15145552048
Buy 14460  AVAB @ 93.99 #+15145559032
Sell 20880  AVAB @ 93.42 #+15145555731
Buy 4790  AVAB @ 95.44 #+15145550388
Sell 9380  AVAB @ 94.27 #+15145550633
Sell 4640  AVAB @ 93.01 #+15145552483
Sell 10820  AVAB @ 94.23 #+15145555225
Buy 10440  AVAB @ 94.31 #+15145557545
Sell 12420  AVAB @ 90.1 #+15145550307
Sell 6570  AVAB @ 93.4 #+15145555489
Buy 8860  AVAB @ 94.22 #+15145555692
Sell 14840  AVAB @ 92.24 #+15145556245
Sell 16040  AVAB @ 94.65 #+15145550019
Sell 13620  AVAB @ 94.62 #+15145558871
Buy 8280  AVAB @ 92.92 #+15145553771
Sell 12400  AVAB @ 92.79 #+15145558465
Sell 12430  AVAB @ 97.63 #+15145557553
Sell 9690  AVAB @ 100.17 #+15145557567
Buy 7040  AVAB @ 101.28 #+15145554208
Sell 12280  AVAB @ 99.07 #+15145555941
Sell 9800  AVAB @ 99.98 #+15145552268
Sell 6110  AVAB @ 106.82 #+15145551707
Buy 8630  AVAB @ 105.39 #+15145554684
Sell 9180  AVAB @ 104.5 #+15145556321
Buy 11970  AVAB @ 105.83 #+15145555958
Buy 9050  AVAB @ 102.7 #+15145557622
Sell 6540  AVAB @ 102.3 #+15145558582
Buy 21590  AVAB @ 101.97 #+15145552463
Sell 15140  AVAB @ 102.17 #+15145553780
Buy 4390  AVAB @ 104.38 #+15145558289
Buy 10690  AVAB @ 102.49 #+15145556773
Buy 3110  AVAB @ 101.18 #+15145557818
Sell 6920  AVAB @ 103.55 #+15145559827
Sell 11910  AVAB @ 103.19 #+15145552465
Buy 11110  AVAB @ 105.99 #+15145559785
Buy 5830  AVAB @ 104.22 #+15145550139
Sell 2680  AVAB @ 107.26 #+15145555038
Sell 7060  AVAB @ 112.26 #+15145559903
Sell 12800  AVAB @ 113.16 #+15145556105
Buy 4480  AVAB @ 115.05 #+15145555550
Buy 2530  AVAB @ 116.82 #+15145554862
Buy 6200  AVAB @ 119.98 #+15145550231
Sell 7610  AVAB @ 120.03 #+15145556674
Buy 16120  AVAB @ 122.46 #+15145555274
Buy 14460  AVAB @ 120.86 #+15145550793
Buy 7540  AVAB @ 117.69 #+15145552998
Sell 2850  AVAB @ 117.19 #+15145551232
Sell 7070  AVAB @ 123.79 #+15145553386
Sell 7640  AVAB @ 120.55 #+15145550982
Buy 10220  AVAB @ 121.7 #+15145558849
Sell 5410  AVAB @ 116.7 #+15145554699
Buy 5060  AVAB @ 120.04 #+15145559914
Buy 3040  AVAB @ 121.58 #+15145552169
Sell 4630  AVAB @ 122.07 #+15145551001
Sell 5650  AVAB @ 120.36 #+15145550370
Sell 11630  AVAB @ 117.93 #+15145554106
Sell 6200  AVAB @ 114.46 #+15145558304
Sell 4510  AVAB @ 113.32 #+15145558440
Buy 8430  AVAB @ 115.24 #+15145550224
Buy 11390  AVAB @ 117.89 #+15145551945
Buy 13560  AVAB @ 112.38 #+15145554638
Buy 15570  AVAB @ 113.61 #+15145552260
Sell 4530  AVAB @ 111.73 #+15145553650
Buy 8670  AVAB @ 111.75 #+15145555934
Sell 4490  AVAB @ 111.29 #+15145558566
Buy 13060  AVAB @ 115.93 #+15145556305
Buy 6220  AVAB @ 112.37 #+15145552747
Buy 13010  AVAB @ 111.34 #+15145553204
Sell 11030  AVAB @ 112.71 #+15145559800
Buy 13550  AVAB @ 111.89 #+15145559998
Buy 13360  AVAB @ 109.12 #+15145558391
Buy 8020  AVAB @ 110.19 #+15145556954
Sell 14090  AVAB @ 111.69 #+15145556483
Sell 6260  AVAB @ 114.18 #+15145558560
Sell 5910  AVAB @ 113.52 #+15145557528
Buy 8780  AVAB @ 118.06 #+15145550593
Sell 13120  AVAB @ 119.85 #+15145558391
Buy 14000  AVAB @ 120.72 #+15145553520
Sell 11240  AVAB @ 121.24 #+15145557650
Buy 16250  AVAB @ 122.08 #+15145559092
Buy 22200  AVAB @ 121.45 #+15145557033
Buy 10310  AVAB @ 122.41 #+15145558500
Buy 6480  AVAB @ 123.27 #+15145550659
Buy 2560  AVAB @ 122.33 #+15145557117
Buy 7540  AVAB @ 119.56 #+15145553840
Sell 11950  AVAB @ 125.43 #+15145558525
Buy 6140  AVAB @ 127.76 #+15145551351
Sell 7930  AVAB @ 122.41 #+15145556184
Sell 6380  AVAB @ 119.81 #+15145557635
Buy 3960  AVAB @ 120.33 #+15145554395
Buy 8810  AVAB @ 121.41 #+15145550296
Sell 7450  AVAB @ 120.93 #+15145555129
Buy 12240  AVAB @ 120.75 #+15145555471
Buy 6980  AVAB @ 118.25 #+15145556264
Sell 7890  AVAB @ 117.39 #+15145551600
Sell 16190  AVAB @ 118.98 #+15145556605
Buy 8890  AVAB @ 123.51 #+15145557137
Buy 11090  AVAB @ 120.03 #+15145555899
Buy 14430  AVAB @ 120.45 #+15145553580
Sell 7340  AVAB @ 120.51 #+15145559996
Buy 8930  AVAB @ 120.24 #+15145551109
Buy 12350  AVAB @ 123.45 #+15145555313
Buy 5910  AVAB @ 122.99 #+15145552866
Buy 10130  AVAB @ 119.83 #+15145553130
Sell 5420  AVAB @ 117.96 #+15145550997
Sell 7150  AVAB @ 115.53 #+15145553305
Buy 13400  AVAB @ 118.18 #+15145551866
Buy 12220  AVAB @ 121.99 #+15145552933
Buy 18820  AVAB @ 125.65 #+15145554638
Buy 12470  AVAB @ 122.56 #+15145556767
Buy 6740  AVAB @ 121.96 #+15145554845
Buy 11410  AVAB @ 120.65 #+15145558353
Buy 15640  AVAB @ 120.77 #+15145555051
Sell 18120  AVAB @ 122.02 #+15145551961
Buy 6730  AVAB @ 121.61 #+15145555059
Buy 7900  AVAB @ 123.14 #+15145557210
Sell 17690  AVAB @ 126.34 #+15145555560
Buy 10070  AVAB @ 125.18 #+15145557054
Sell 10030  AVAB @ 129.62 #+15145550655
Sell 5260  AVAB @ 131.21 #+15145553242
Buy 9990  AVAB @ 133.09 #+15145553284
Sell 10350  AVAB @ 130.62 #+15145557461
Buy 14700  AVAB @ 129.93 #+15145555698
Buy 6080  AVAB @ 125.36 #+15145551010
Sell 7570  AVAB @ 122.78 #+15145556633
Buy 8960  AVAB @ 123.75 #+15145552235
Sell 9070  AVAB @ 128.24 #+15145558495
Sell 22100  AVAB @ 126.67 #+15145555160
Buy 8300  AVAB @ 134.26 #+15145552409
Sell 13990  AVAB @ 129.38 #+15145559220
Sell 12520  AVAB @ 129.73 #+15145551781
Sell 14320  AVAB @ 128.71 #+15145556685
