Sell 6820  BKNWA @ 99.75 #+15145557054  
Buy 12600  BKNWA @ 99.51 #+15145557978  
Sell 7780  BKNWA @ 99.41 #+15145555510  
Buy 5670  BKNWA @ 99.11 #+15145559534   
Buy 11870  BKNWA @ 98.82 #+15145555558  
Buy 10090  BKNWA @ 99.12 #+15145557036  
Buy 5450  BKNWA @ 99.11 #+15145554227   
Sell 6410  BKNWA @ 99.05 #+15145553359  
Sell 5870  BKNWA @ 98.86 #+15145553886  
Buy 3210  BKNWA @ 98.9 #+15145559582    
Sell 3520  BKNWA @ 99.36 #+15145554249  
Sell 9240  BKNWA @ 100.53 #+15145554384 
Buy 7990  BKNWA @ 99.86 #+15145550874   
Sell 12310  BKNWA @ 101.03 #+15145553018
Buy 4650  BKNWA @ 100.98 #+15145554969  
Buy 11380  BKNWA @ 99.74 #+15145552466  
Sell 10560  BKNWA @ 100.59 #+15145553515
Buy 9130  BKNWA @ 100.8 #+15145554241   
Buy 10190  BKNWA @ 100.04 #+15145557583 
Buy 7970  BKNWA @ 99.5 #+15145550223    
Sell 8180  BKNWA @ 99.09 #+15145558505  
Buy 9720  BKNWA @ 98.87 #+15145556223   
Sell 19300  BKNWA @ 98.83 #+15145557964 
Buy 16610  BKNWA @ 100.52 #+15145551354 
Buy 18540  BKNWA @ 101.01 #+15145558693 
Buy 13170  BKNWA @ 100.96 #+15145558035 
Buy 4940  BKNWA @ 100.87 #+15145557835  
Buy 7760  BKNWA @ 100.73 #+15145551411  
Buy 7390  BKNWA @ 100.69 #+15145557624  
Buy 6030  BKNWA @ 100.57 #+15145551902  
Sell 10650  BKNWA @ 100.45 #+15145550125
Buy 13720  BKNWA @ 100.4 #+15145553477  
Sell 7850  BKNWA @ 101.15 #+15145550553 
Buy 14690  BKNWA @ 101.05 #+15145558554 
Sell 9530  BKNWA @ 101.22 #+15145554800 
Buy 13770  BKNWA @ 101.37 #+15145559835 
Buy 5800  BKNWA @ 101.54 #+15145558531  
Buy 8530  BKNWA @ 101.84 #+15145556682  
