Sell 5250  BOOMY @ 98.82 #+15145555318  
Buy 13130  BOOMY @ 98.77 #+15145553130  
Sell 3590  BOOMY @ 97.79 #+15145558143  
Buy 8760  BOOMY @ 97.92 #+15145554267   
Buy 10620  BOOMY @ 97.9 #+15145552238   
Buy 7630  BOOMY @ 97.19 #+15145559272   
Sell 6880  BOOMY @ 97.98 #+15145554690  
Sell 8110  BOOMY @ 97.93 #+15145551039  
Sell 12280  BOOMY @ 100.33 #+15145554570
Buy 6670  BOOMY @ 100.68 #+15145555472  
Sell 9670  BOOMY @ 101.56 #+15145550358 
Buy 2990  BOOMY @ 101.65 #+15145556181  
Sell 4860  BOOMY @ 101.78 #+15145555455 
Buy 11250  BOOMY @ 101.55 #+15145558968 
Sell 9320  BOOMY @ 101.92 #+15145550405 
Sell 8140  BOOMY @ 100.93 #+15145553205 
Sell 11330  BOOMY @ 100.16 #+15145556739
Sell 13190  BOOMY @ 100.14 #+15145555339
Buy 8620  BOOMY @ 100.3 #+15145551803   
Buy 8450  BOOMY @ 99.85 #+15145558896   
Sell 10470  BOOMY @ 100.09 #+15145554595
Sell 12690  BOOMY @ 100.43 #+15145557784
Buy 13800  BOOMY @ 99.98 #+15145557200  
Buy 9230  BOOMY @ 99.74 #+15145550936   
Buy 18630  BOOMY @ 100.24 #+15145553429 
Buy 8940  BOOMY @ 100.09 #+15145559961  
Sell 9620  BOOMY @ 100.9 #+15145551650  
Buy 10850  BOOMY @ 100.42 #+15145550210 
Buy 7550  BOOMY @ 101.02 #+15145552702  
Buy 5150  BOOMY @ 100.49 #+15145557021  
Sell 7950  BOOMY @ 100.1 #+15145558732  
Sell 15230  BOOMY @ 100.66 #+15145557673
Sell 14140  BOOMY @ 100.21 #+15145551182
Sell 9410  BOOMY @ 100.66 #+15145555759 
Sell 8120  BOOMY @ 101.04 #+15145556449 
Sell 10380  BOOMY @ 102.06 #+15145551353
Sell 12210  BOOMY @ 101.78 #+15145558936
Buy 16050  BOOMY @ 102.15 #+15145559963 
Sell 12670  BOOMY @ 103.01 #+15145551707
Sell 5810  BOOMY @ 103.38 #+15145555545 
Sell 9570  BOOMY @ 103.44 #+15145551369 
Sell 3290  BOOMY @ 102.87 #+15145550513 
Sell 7920  BOOMY @ 103.72 #+15145553328 
Buy 5660  BOOMY @ 102.68 #+15145558017  
Buy 15060  BOOMY @ 102.86 #+15145558347 
Sell 12890  BOOMY @ 103.02 #+15145550378
Sell 12460  BOOMY @ 103.23 #+15145554000
Buy 13040  BOOMY @ 103.01 #+15145559237 
Sell 11770  BOOMY @ 103.22 #+15145554934
Sell 18330  BOOMY @ 102.86 #+15145551444
Buy 19640  BOOMY @ 103.47 #+15145552195 
Sell 3540  BOOMY @ 103.75 #+15145555853 
Buy 4030  BOOMY @ 103.97 #+15145557609  
Sell 8130  BOOMY @ 104.93 #+15145553678 
Sell 5170  BOOMY @ 104.05 #+15145555388 
Sell 9000  BOOMY @ 103.63 #+15145552707 
Buy 11980  BOOMY @ 104.02 #+15145558498 
Buy 5510  BOOMY @ 104.3 #+15145554431   
Sell 6560  BOOMY @ 103.35 #+15145559771 
Sell 8170  BOOMY @ 103.63 #+15145555944 
Buy 8890  BOOMY @ 103.16 #+15145551259  
Sell 6670  BOOMY @ 102.98 #+15145559039 
Sell 4860  BOOMY @ 102.22 #+15145559198 
Buy 9820  BOOMY @ 101.81 #+15145556016  
Sell 8720  BOOMY @ 101.9 #+15145555753  
Sell 18700  BOOMY @ 101.85 #+15145559656
Buy 12640  BOOMY @ 102.96 #+15145559346 
Buy 10610  BOOMY @ 102.75 #+15145551481 
Buy 5600  BOOMY @ 101.23 #+15145559046  
Buy 8430  BOOMY @ 100.44 #+15145556603  
Buy 12330  BOOMY @ 100.29 #+15145551681 
Sell 7370  BOOMY @ 101.14 #+15145556809 
Buy 12130  BOOMY @ 100.89 #+15145553169 
Sell 8220  BOOMY @ 100.71 #+15145556113 
Buy 7880  BOOMY @ 101.67 #+15145556141  
Buy 3680  BOOMY @ 102.15 #+15145551545  
Sell 4770  BOOMY @ 102.01 #+15145552491 
Buy 6890  BOOMY @ 102.25 #+15145553420  
Sell 10130  BOOMY @ 101.94 #+15145555373
Buy 3200  BOOMY @ 100.81 #+15145553499  
Buy 12340  BOOMY @ 99.87 #+15145556997  
Buy 4400  BOOMY @ 99.79 #+15145557768   
Sell 8800  BOOMY @ 99.65 #+15145555785  
Sell 13700  BOOMY @ 99.68 #+15145558583 
Buy 4550  BOOMY @ 99.13 #+15145558069   
Sell 11390  BOOMY @ 98.81 #+15145559609 
Sell 3320  BOOMY @ 99.6 #+15145558888   
Buy 11490  BOOMY @ 99.81 #+15145553228  
Buy 7730  BOOMY @ 100.03 #+15145552630  
Sell 6900  BOOMY @ 100.04 #+15145555989 
Sell 4200  BOOMY @ 99.02 #+15145553701  
Sell 7320  BOOMY @ 97.84 #+15145558861  
Sell 8300  BOOMY @ 98.12 #+15145559984  
Buy 13250  BOOMY @ 97.58 #+15145552565  
Buy 8010  BOOMY @ 96.74 #+15145550528   
Sell 11430  BOOMY @ 96.57 #+15145551064 
Sell 8140  BOOMY @ 96.94 #+15145552628  
Buy 12430  BOOMY @ 97.6 #+15145555762   
Sell 11100  BOOMY @ 97.76 #+15145553719 
Buy 7970  BOOMY @ 97.79 #+15145558784   
Sell 14190  BOOMY @ 96.21 #+15145559944 
Sell 15200  BOOMY @ 96.7 #+15145554995  
Sell 22830  BOOMY @ 97.29 #+15145554420 
Buy 11170  BOOMY @ 96.53 #+15145553929  
Buy 10820  BOOMY @ 96.72 #+15145558549  
Sell 9920  BOOMY @ 96.84 #+15145557800  
Sell 12100  BOOMY @ 96.76 #+15145554265 
Buy 13210  BOOMY @ 96.91 #+15145555277  
Buy 9930  BOOMY @ 97.62 #+15145552410   
Sell 8610  BOOMY @ 98.53 #+15145550342  
Buy 4120  BOOMY @ 99.33 #+15145550501   
Buy 7420  BOOMY @ 99.4 #+15145552797    
Buy 11670  BOOMY @ 99.08 #+15145558586  
Sell 9320  BOOMY @ 98.9 #+15145553463   
Buy 4420  BOOMY @ 99.78 #+15145550585   
Sell 6970  BOOMY @ 99.34 #+15145556866  
Buy 7970  BOOMY @ 99.77 #+15145558612   
Sell 6470  BOOMY @ 98.91 #+15145555537  
Buy 12100  BOOMY @ 99.05 #+15145553863  
Buy 9970  BOOMY @ 98.26 #+15145551664   
Buy 7080  BOOMY @ 97.53 #+15145550098   
Buy 12230  BOOMY @ 97.12 #+15145550047  
Sell 11360  BOOMY @ 95.72 #+15145555060 
Sell 4350  BOOMY @ 96.1 #+15145558694   
Sell 5350  BOOMY @ 96.09 #+15145559760  
Buy 5900  BOOMY @ 95.68 #+15145551735   
Buy 12710  BOOMY @ 96.16 #+15145558257  
Buy 8990  BOOMY @ 96.67 #+15145551584   
Sell 3930  BOOMY @ 96.07 #+15145557014  
Buy 12310  BOOMY @ 97.05 #+15145559802  
Sell 21410  BOOMY @ 97.47 #+15145551504 
Sell 13240  BOOMY @ 96.92 #+15145551839 
Sell 16010  BOOMY @ 96.83 #+15145553734 
Buy 14130  BOOMY @ 96.95 #+15145557119  
Sell 15840  BOOMY @ 98.19 #+15145557713 
Sell 12460  BOOMY @ 97.32 #+15145555577 
Buy 11000  BOOMY @ 97.46 #+15145558513  
Sell 14050  BOOMY @ 97.51 #+15145550948 
Sell 10410  BOOMY @ 96.64 #+15145559659 
Sell 14670  BOOMY @ 96.76 #+15145558261 
Buy 9710  BOOMY @ 97.14 #+15145558718   
Sell 14440  BOOMY @ 97.54 #+15145554075 
Buy 6960  BOOMY @ 97.88 #+15145553848   
Sell 10630  BOOMY @ 97.11 #+15145558141 
Sell 16590  BOOMY @ 96.95 #+15145559658 
Sell 12100  BOOMY @ 97.03 #+15145554960 
Buy 4980  BOOMY @ 96.73 #+15145555442   
Sell 12560  BOOMY @ 96.3 #+15145555117  
Sell 7150  BOOMY @ 95.49 #+15145550121  
Sell 14910  BOOMY @ 95.66 #+15145558849 
