Parallel{
Sell 16800  YHOO @ 99.79 #+15145555329
Sell 20750  YHOO @ 115.18 #+15145552176
Buy 41830  YHOO @ 115.75 #+15145551409
Buy 39750  YHOO @ 114.53 #+15145552731
Buy 20160  YHOO @ 112.92 #+15145555931
Buy 19730  YHOO @ 115.75 #+15145557545
Sell 23630  YHOO @ 115.82 #+15145553721
Buy 24040  YHOO @ 115.84 #+15145554447
Buy 29810  YHOO @ 115.41 #+15145556558
Buy 29680  YHOO @ 114.94 #+15145550368
Sell 40780  YHOO @ 114.85 #+15145557418
Buy 54240  YHOO @ 114.88 #+15145559561
Sell 31340  YHOO @ 114.54 #+15145555596
Buy 21170  YHOO @ 114.5 #+15145556931
Buy 23490  YHOO @ 117.73 #+15145552723
Buy 32460  YHOO @ 114.37 #+15145551570
Sell 20570  YHOO @ 115.04 #+15145559495
Sell 18030  YHOO @ 114.29 #+15145553263
Buy 33070  YHOO @ 114.32 #+15145558790
Sell 27930  YHOO @ 113.8 #+15145556891
Sell 49900  YHOO @ 115.27 #+15145554451
Sell 97150  YHOO @ 113.35 #+15145550065
Sell 44440  YHOO @ 113.47 #+15145556133
Buy 43120  YHOO @ 111.83 #+15145550283
Buy 30230  YHOO @ 110.96 #+15145556828
Buy 45770  YHOO @ 110.05 #+15145556091
Sell 21270  YHOO @ 110.64 #+15145557218
Sell 25080  YHOO @ 111.44 #+15145552679
Buy 24460  YHOO @ 111.46 #+15145550680
Buy 49320  YHOO @ 108.04 #+15145554290
Buy 60430  YHOO @ 111.47 #+15145556497
Buy 32010  YHOO @ 111.02 #+15145550324
Sell 21760  YHOO @ 110.49 #+15145559998
Buy 27240  YHOO @ 111.27 #+15145559941
Buy 56810  YHOO @ 110.81 #+15145552612
Sell 58540  YHOO @ 111.34 #+15145552122
Sell 37380  YHOO @ 110.81 #+15145553728
Buy 19920  YHOO @ 111.55 #+15145552946
Sell 32690  YHOO @ 110.68 #+15145557841
Buy 60000  YHOO @ 109.93 #+15145555226
Sell 93940  YHOO @ 110.35 #+15145557423
Sell 77320  YHOO @ 110.22 #+15145559558
Buy 54290  YHOO @ 109.3 #+15145550254
Sell 20500  YHOO @ 108.31 #+15145553604
Sell 17840  YHOO @ 108.45 #+15145554482
Buy 25390  YHOO @ 105.37 #+15145552275
Buy 29160  YHOO @ 108.99 #+15145555393
Buy 30990  YHOO @ 109.01 #+15145559931
Buy 35880  YHOO @ 108.14 #+15145552213
Sell 21790  YHOO @ 106.65 #+15145555454
Buy 24960  YHOO @ 108.1 #+15145557182
Sell 17180  YHOO @ 110.79 #+15145553092
Sell 14190  YHOO @ 108.09 #+15145558702
Buy 26180  YHOO @ 108.51 #+15145550033
Buy 30440  YHOO @ 107.47 #+15145558210
Buy 17000  YHOO @ 107.46 #+15145559664
Sell 25580  YHOO @ 107.89 #+15145551408
Sell 25680  YHOO @ 107.59 #+15145557121
Sell 48470  YHOO @ 107.65 #+15145556926
Sell 51090  YHOO @ 107.06 #+15145553881
Buy 48020  YHOO @ 106.98 #+15145554511
Buy 47480  YHOO @ 105.72 #+15145552270
Buy 59560  YHOO @ 105.28 #+15145559960
Sell 47060  YHOO @ 104.83 #+15145555306
Buy 39420  YHOO @ 106.81 #+15145558187
Sell 26160  YHOO @ 104.8 #+15145555970
Buy 25650  YHOO @ 106 #+15145557134
Sell 26850  YHOO @ 106.18 #+15145551158
Buy 67670  YHOO @ 106.59 #+15145556571
Sell 20620  YHOO @ 103.36 #+15145553894
Sell 20550  YHOO @ 106.66 #+15145555346
Buy 20930  YHOO @ 106.37 #+15145554679
Buy 16720  YHOO @ 107.48 #+15145552973
Sell 30120  YHOO @ 104.78 #+15145551893
Sell 30480  YHOO @ 106.64 #+15145552097
Buy 63060  YHOO @ 108.91 #+15145556224
Buy 30130  YHOO @ 105.44 #+15145555580
Buy 24490  YHOO @ 107.3 #+15145554689
Sell 19740  YHOO @ 106.69 #+15145554673
Buy 27070  YHOO @ 107.33 #+15145551642
Sell 16640  YHOO @ 106.03 #+15145554891
Buy 22790  YHOO @ 107.19 #+15145558851
Sell 21480  YHOO @ 106.76 #+15145553702
Buy 14360  YHOO @ 106.9 #+15145558291
Sell 20990  YHOO @ 106.47 #+15145555120
Sell 18280  YHOO @ 110.65 #+15145557546
Buy 20480  YHOO @ 107.29 #+15145556407
